,dt_day,total_activity
0,2021-01-01,181.0
1,2021-01-02,207.0
2,2021-01-03,188.0
3,2021-01-04,276.0
4,2021-01-05,302.0
5,2021-01-06,255.0
6,2021-01-07,183.0
7,2021-01-08,225.0
8,2021-01-09,217.0
9,2021-01-10,218.0
10,2021-01-11,253.0
11,2021-01-12,226.0
12,2021-01-13,316.0
13,2021-01-14,226.0
14,2021-01-15,254.0
15,2021-01-16,208.0
16,2021-01-17,193.0
17,2021-01-18,200.0
18,2021-01-19,214.0
19,2021-01-20,275.0
20,2021-01-21,220.0
21,2021-01-22,173.0
22,2021-01-23,129.0
23,2021-01-24,162.0
24,2021-01-25,138.0
25,2021-01-26,155.0
26,2021-01-27,128.0
27,2021-01-28,190.0
28,2021-01-29,155.0
29,2021-01-30,104.0
30,2021-01-31,129.0
31,2021-02-01,198.0
32,2021-02-02,109.0
33,2021-02-03,147.0
34,2021-02-04,132.0
35,2021-02-05,99.0
36,2021-02-06,138.0
37,2021-02-07,96.0
38,2021-02-08,134.0
39,2021-02-09,128.0
40,2021-02-10,139.0
41,2021-02-11,185.0
42,2021-02-12,142.0
43,2021-02-13,85.0
44,2021-02-14,100.0
45,2021-02-15,162.0
46,2021-02-16,121.0
47,2021-02-17,133.0
48,2021-02-18,105.0
49,2021-02-19,124.0
50,2021-02-20,91.0
51,2021-02-21,80.0
52,2021-02-22,163.0
53,2021-02-23,158.0
54,2021-02-24,97.0
55,2021-02-25,130.0
56,2021-02-26,114.0
57,2021-02-27,74.0
58,2021-02-28,58.0
59,2021-03-01,102.0
60,2021-03-02,117.0
61,2021-03-03,111.0
62,2021-03-04,326.0
63,2021-03-05,204.0
64,2021-03-06,135.0
65,2021-03-07,150.0
66,2021-03-08,154.0
67,2021-03-09,198.0
68,2021-03-10,189.0
69,2021-03-11,127.0
70,2021-03-12,97.0
71,2021-03-13,215.0
72,2021-03-14,129.0
73,2021-03-15,124.0
74,2021-03-16,222.0
75,2021-03-17,225.0
76,2021-03-18,199.0
77,2021-03-19,190.0
78,2021-03-20,167.0
79,2021-03-21,181.0
80,2021-03-22,134.0
81,2021-03-23,156.0
82,2021-03-24,211.0
83,2021-03-25,139.0
84,2021-03-26,148.0
85,2021-03-27,110.0
86,2021-03-28,104.0
87,2021-03-29,121.0
88,2021-03-30,197.0
89,2021-03-31,190.0
90,2021-04-01,135.0
91,2021-04-02,153.0
92,2021-04-03,140.0
93,2021-04-04,123.0
94,2021-04-05,94.0
95,2021-04-06,123.0
96,2021-04-07,136.0
97,2021-04-08,170.0
98,2021-04-09,111.0
99,2021-04-10,86.0
100,2021-04-11,82.0
101,2021-04-12,102.0
102,2021-04-13,157.0
103,2021-04-14,166.0
104,2021-04-15,196.0
105,2021-04-16,117.0
106,2021-04-17,77.0
107,2021-04-18,94.0
108,2021-04-19,156.0
109,2021-04-20,141.0
110,2021-04-21,268.0
111,2021-04-22,210.0
112,2021-04-23,127.0
113,2021-04-24,91.0
114,2021-04-25,112.0
115,2021-04-26,70.0
116,2021-04-27,152.0
117,2021-04-28,163.0
118,2021-04-29,223.0
119,2021-04-30,139.0
120,2021-05-01,128.0
121,2021-05-02,97.0
122,2021-05-03,207.0
123,2021-05-04,171.0
124,2021-05-05,138.0
125,2021-05-06,148.0
126,2021-05-07,228.0
127,2021-05-08,122.0
128,2021-05-09,118.0
129,2021-05-10,263.0
130,2021-05-11,184.0
131,2021-05-12,185.0
132,2021-05-13,119.0
133,2021-05-14,166.0
134,2021-05-15,132.0
135,2021-05-16,146.0
136,2021-05-17,210.0
137,2021-05-18,644.0
138,2021-05-19,424.0
139,2021-05-20,514.0
140,2021-05-21,434.0
141,2021-05-22,452.0
142,2021-05-23,330.0
143,2021-05-24,261.0
144,2021-05-25,259.0
145,2021-05-26,272.0
146,2021-05-27,236.0
147,2021-05-28,252.0
148,2021-05-29,174.0
149,2021-05-30,130.0
150,2021-05-31,110.0
151,2021-06-01,208.0
152,2021-06-02,212.0
153,2021-06-03,268.0
154,2021-06-04,293.0
155,2021-06-05,146.0
156,2021-06-06,209.0
157,2021-06-07,181.0
158,2021-06-08,136.0
159,2021-06-09,189.0
160,2021-06-10,568.0
161,2021-06-11,475.0
162,2021-06-12,311.0
163,2021-06-13,373.0
164,2021-06-14,432.0
165,2021-06-15,315.0
166,2021-06-16,310.0
167,2021-06-17,329.0
168,2021-06-18,258.0
169,2021-06-19,271.0
170,2021-06-20,306.0
171,2021-06-21,225.0
172,2021-06-22,299.0
173,2021-06-23,291.0
174,2021-06-24,253.0
175,2021-06-25,240.0
176,2021-06-26,135.0
177,2021-06-27,200.0
178,2021-06-28,202.0
179,2021-06-29,222.0
180,2021-06-30,252.0
181,2021-07-01,234.0
182,2021-07-02,136.0
183,2021-07-03,146.0
184,2021-07-04,190.0
185,2021-07-05,169.0
186,2021-07-06,191.0
187,2021-07-07,246.0
188,2021-07-08,148.0
189,2021-07-09,110.0
190,2021-07-10,88.0
191,2021-07-11,118.0
192,2021-07-12,128.0
193,2021-07-13,182.0
194,2021-07-14,213.0
195,2021-07-15,202.0
196,2021-07-16,148.0
197,2021-07-17,119.0
198,2021-07-18,106.0
199,2021-07-19,201.0
200,2021-07-20,306.0
201,2021-07-21,1001.0
202,2021-07-22,332.0
203,2021-07-23,201.0
204,2021-07-24,190.0
205,2021-07-25,178.0
206,2021-07-26,231.0
207,2021-07-27,214.0
208,2021-07-28,237.0
209,2021-07-29,357.0
210,2021-07-30,194.0
211,2021-07-31,120.0
212,2021-08-01,83.0
213,2021-08-02,164.0
214,2021-08-03,230.0
215,2021-08-04,161.0
216,2021-08-05,192.0
217,2021-08-06,273.0
218,2021-08-07,124.0
219,2021-08-08,141.0
220,2021-08-09,159.0
221,2021-08-10,185.0
222,2021-08-11,151.0
223,2021-08-12,93.0
224,2021-08-13,85.0
225,2021-08-14,75.0
226,2021-08-15,84.0
227,2021-08-16,135.0
228,2021-08-17,101.0
229,2021-08-18,66.0
230,2021-08-19,90.0
231,2021-08-20,132.0
232,2021-08-21,118.0
233,2021-08-22,57.0
234,2021-08-23,114.0
235,2021-08-24,176.0
236,2021-08-25,96.0
237,2021-08-26,66.0
238,2021-08-27,113.0
239,2021-08-28,109.0
240,2021-08-29,112.0
241,2021-08-30,87.0
242,2021-08-31,201.0
243,2021-09-01,255.0
244,2021-09-02,109.0
245,2021-09-03,94.0
246,2021-09-04,100.0
247,2021-09-05,112.0
248,2021-09-06,144.0
249,2021-09-07,141.0
250,2021-09-08,165.0
251,2021-09-09,125.0
252,2021-09-10,104.0
253,2021-09-11,74.0
254,2021-09-12,110.0
255,2021-09-13,77.0
256,2021-09-14,190.0
257,2021-09-15,143.0
258,2021-09-16,79.0
259,2021-09-17,132.0
260,2021-09-18,75.0
261,2021-09-19,76.0
262,2021-09-20,64.0
263,2021-09-21,62.0
264,2021-09-22,73.0
265,2021-09-23,126.0
266,2021-09-24,113.0
267,2021-09-25,86.0
268,2021-09-26,218.0
269,2021-09-27,234.0
270,2021-09-28,233.0
271,2021-09-29,162.0
272,2021-09-30,239.0
273,2021-10-01,139.0
274,2021-10-02,102.0
275,2021-10-03,70.0
276,2021-10-04,82.0
277,2021-10-05,123.0
278,2021-10-06,116.0
279,2021-10-07,142.0
280,2021-10-08,165.0
281,2021-10-09,80.0
282,2021-10-10,39.0
283,2021-10-11,84.0
284,2021-10-12,168.0
285,2021-10-13,492.0
286,2021-10-14,285.0
287,2021-10-15,204.0
288,2021-10-16,200.0
289,2021-10-17,183.0
290,2021-10-18,289.0
291,2021-10-19,660.0
292,2021-10-20,400.0
293,2021-10-21,395.0
294,2021-10-22,343.0
295,2021-10-23,387.0
296,2021-10-24,335.0
297,2021-10-25,346.0
298,2021-10-26,347.0
299,2021-10-27,306.0
300,2021-10-28,546.0
301,2021-10-29,370.0
302,2021-10-30,193.0
303,2021-10-31,150.0
304,2021-11-01,186.0
305,2021-11-02,207.0
306,2021-11-03,169.0
307,2021-11-04,314.0
308,2021-11-05,232.0
309,2021-11-06,169.0
310,2021-11-07,141.0
311,2021-11-08,257.0
312,2021-11-09,545.0
313,2021-11-10,484.0
314,2021-11-11,369.0
315,2021-11-12,299.0
316,2021-11-13,283.0
317,2021-11-14,236.0
318,2021-11-15,192.0
319,2021-11-16,274.0
320,2021-11-17,283.0
321,2021-11-18,392.0
322,2021-11-19,255.0
323,2021-11-20,196.0
324,2021-11-21,133.0
325,2021-11-22,200.0
326,2021-11-23,226.0
327,2021-11-24,419.0
328,2021-11-25,852.0
329,2021-11-26,507.0
330,2021-11-27,492.0
331,2021-11-28,399.0
332,2021-11-29,739.0
333,2021-11-30,534.0
334,2021-12-01,328.0
335,2021-12-02,587.0
336,2021-12-03,411.0
337,2021-12-04,632.0
338,2021-12-05,328.0
339,2021-12-06,408.0
340,2021-12-07,639.0
341,2021-12-08,1129.0
342,2021-12-09,610.0
343,2021-12-10,340.0
344,2021-12-11,377.0
345,2021-12-12,356.0
346,2021-12-13,252.0
347,2021-12-14,386.0
348,2021-12-15,311.0
349,2021-12-16,185.0
350,2021-12-17,289.0
351,2021-12-18,189.0
352,2021-12-19,205.0
353,2021-12-20,271.0
354,2021-12-21,232.0
355,2021-12-22,160.0
356,2021-12-23,160.0
357,2021-12-24,191.0
358,2021-12-25,154.0
359,2021-12-26,126.0
360,2021-12-27,148.0
361,2021-12-28,88.0
362,2021-12-29,150.0
363,2021-12-30,212.0
364,2021-12-31,196.0
365,2022-01-01,136.0
366,2022-01-02,117.0
367,2022-01-03,137.0
368,2022-01-04,160.0
369,2022-01-05,146.0
370,2022-01-06,133.0
371,2022-01-07,129.0
372,2022-01-08,148.0
373,2022-01-09,112.0
374,2022-01-10,97.0
375,2022-01-11,185.0
376,2022-01-12,126.0
377,2022-01-13,121.0
378,2022-01-14,128.0
379,2022-01-15,161.0
380,2022-01-16,62.0
381,2022-01-17,77.0
382,2022-01-18,350.0
383,2022-01-19,185.0
384,2022-01-20,115.0
385,2022-01-21,226.0
386,2022-01-22,166.0
387,2022-01-23,179.0
388,2022-01-24,154.0
389,2022-01-25,197.0
390,2022-01-26,129.0
391,2022-01-27,252.0
392,2022-01-28,266.0
393,2022-01-29,176.0
394,2022-01-30,78.0
395,2022-01-31,115.0
396,2022-02-01,254.0
397,2022-02-02,266.0
398,2022-02-03,262.0
399,2022-02-04,178.0
400,2022-02-05,178.0
401,2022-02-06,83.0
402,2022-02-07,119.0
403,2022-02-08,153.0
404,2022-02-09,116.0
405,2022-02-10,326.0
406,2022-02-11,201.0
407,2022-02-12,125.0
408,2022-02-13,117.0
409,2022-02-14,110.0
410,2022-02-15,371.0
411,2022-02-16,188.0
412,2022-02-17,86.0
413,2022-02-18,121.0
414,2022-02-19,124.0
415,2022-02-20,125.0
416,2022-02-21,84.0
417,2022-02-22,105.0
418,2022-02-23,93.0
419,2022-02-24,117.0
420,2022-02-25,129.0
421,2022-02-26,98.0
422,2022-02-27,125.0
423,2022-02-28,103.0
424,2022-03-01,117.0
425,2022-03-02,108.0
426,2022-03-03,113.0
427,2022-03-04,82.0
428,2022-03-05,45.0
429,2022-03-06,75.0
430,2022-03-07,87.0
431,2022-03-08,59.0
432,2022-03-09,70.0
433,2022-03-10,85.0
434,2022-03-11,82.0
435,2022-03-12,82.0
436,2022-03-13,117.0
437,2022-03-14,166.0
438,2022-03-15,218.0
439,2022-03-16,139.0
440,2022-03-17,122.0
441,2022-03-18,126.0
442,2022-03-19,183.0
443,2022-03-20,103.0
444,2022-03-21,99.0
445,2022-03-22,145.0
446,2022-03-23,108.0
447,2022-03-24,133.0
448,2022-03-25,135.0
449,2022-03-26,126.0
450,2022-03-27,93.0
451,2022-03-28,61.0
452,2022-03-29,102.0
453,2022-03-30,94.0
454,2022-03-31,97.0
455,2022-04-01,110.0
456,2022-04-02,82.0
457,2022-04-03,67.0
458,2022-04-04,62.0
459,2022-04-05,124.0
460,2022-04-06,130.0
461,2022-04-07,120.0
462,2022-04-08,142.0
463,2022-04-09,87.0
464,2022-04-10,48.0
465,2022-04-11,103.0
466,2022-04-12,99.0
467,2022-04-13,138.0
468,2022-04-14,79.0
469,2022-04-15,
470,2022-04-16,106.0
471,2022-04-17,68.0
472,2022-04-18,50.0
473,2022-04-19,94.0
