,Order,AIC,BIC
0,"(0, 0, 0, 0, 0, 0, 20)",7878.401734731155,7882.810263522214
1,"(0, 0, 0, 0, 0, 1, 20)",7186.598987864187,7195.349037503843
2,"(0, 0, 0, 0, 1, 0, 20)",6445.793390813798,6450.168415633627
3,"(0, 0, 0, 0, 1, 1, 20)",6042.844069357603,6051.524787965059
4,"(0, 0, 0, 1, 0, 0, 20)",6454.247190274529,6463.000644170326
5,"(0, 0, 0, 1, 0, 1, 20)",6217.89501799516,6231.020092454644
6,"(0, 0, 0, 1, 1, 0, 20)",6119.665819759315,6128.350062596757
7,"(0, 0, 0, 1, 1, 1, 20)",6044.8315742043815,6057.8526521155645
8,"(0, 0, 1, 0, 0, 0, 20)",7346.1234538712815,7354.93721384342
9,"(0, 0, 1, 0, 0, 1, 20)",6823.346708645969,6836.466668014699
10,"(0, 0, 1, 0, 1, 0, 20)",6391.090732303884,6399.837371883038
11,"(0, 0, 1, 0, 1, 1, 20)",5973.278181034657,5986.293963269266
12,"(0, 0, 1, 1, 0, 0, 20)",6401.357874091031,6414.488054934726
13,"(0, 0, 1, 1, 0, 1, 20)",6144.262534678028,6161.755813836336
14,"(0, 0, 1, 1, 1, 0, 20)",6082.953084379472,6095.979448635635
15,"(0, 0, 1, 1, 1, 1, 20)",5975.259012709803,5992.613389022616
16,"(0, 1, 0, 0, 0, 0, 20)",6452.715290040229,6457.122170026299
17,"(0, 1, 0, 0, 0, 1, 20)",6248.519871907647,6257.266511486801
18,"(0, 1, 0, 0, 1, 0, 20)",6623.459963494963,6627.83328328454
19,"(0, 1, 0, 0, 1, 1, 20)",6091.808634602674,6100.48582275908
20,"(0, 1, 0, 1, 0, 0, 20)",6258.834848641085,6267.584898280741
21,"(0, 1, 0, 1, 0, 1, 20)",6250.053198115724,6263.173157484454
22,"(0, 1, 0, 1, 1, 0, 20)",6298.988544588925,6307.669263196381
23,"(0, 1, 0, 1, 1, 1, 20)",6093.503804574928,6106.519586809537
24,"(0, 1, 1, 0, 0, 0, 20)",6222.364326056573,6231.174782972635
25,"(0, 1, 1, 0, 0, 1, 20)",6027.89232519216,6041.007160733855
26,"(0, 1, 1, 0, 1, 0, 20)",6416.767060337245,6425.510284031709
27,"(0, 1, 1, 0, 1, 1, 20)",5878.3128036526705,5891.32328084611
28,"(0, 1, 1, 1, 0, 0, 20)",6047.003120986188,6060.128195445673
29,"(0, 1, 1, 1, 0, 1, 20)",6029.764997894219,6047.2514452831465
30,"(0, 1, 1, 1, 1, 0, 20)",6081.758861703803,6094.779939614986
31,"(0, 1, 1, 1, 1, 1, 20)",5880.311094491171,5897.6583974157575
32,"(1, 0, 0, 0, 0, 0, 20)",6452.119782320744,6460.936839902863
33,"(1, 0, 0, 0, 0, 1, 20)",6245.460989724737,6258.586064184222
34,"(1, 0, 0, 0, 1, 0, 20)",6388.290833604586,6397.040883244242
35,"(1, 0, 0, 0, 1, 1, 20)",5948.6107647013005,5961.6318426124835
36,"(1, 0, 0, 1, 0, 0, 20)",6245.973901749107,6259.098976208592
37,"(1, 0, 0, 1, 0, 1, 20)",6123.797113495397,6141.297212774709
38,"(1, 0, 0, 1, 1, 0, 20)",6057.492367569012,6070.513445480195
39,"(1, 0, 0, 1, 1, 1, 20)",5950.573469662276,5967.934906877187
40,"(1, 0, 1, 0, 0, 0, 20)",6234.201397071409,6247.422037029617
41,"(1, 0, 1, 0, 0, 1, 20)",6039.4103689828235,6056.903648141131
42,"(1, 0, 1, 0, 1, 0, 20)",6373.698752676065,6386.818712044796
43,"(1, 0, 1, 0, 1, 1, 20)",5889.0144394501785,5906.368815762991
44,"(1, 0, 1, 1, 0, 0, 20)",6049.7893292124745,6067.289428491787
45,"(1, 0, 1, 1, 0, 1, 20)",6093.606364173123,6115.472963121008
46,"(1, 0, 1, 1, 1, 0, 20)",6045.722498984369,6063.08393619928
47,"(1, 0, 1, 1, 1, 1, 20)",5891.01443379848,5912.707404189496
48,"(1, 1, 0, 0, 0, 0, 20)",6329.994542143457,6338.808302115595
49,"(1, 1, 0, 0, 0, 1, 20)",6132.035864446196,6145.155823814926
50,"(1, 1, 0, 0, 1, 0, 20)",6516.970980954356,6525.71762053351
51,"(1, 1, 0, 0, 1, 1, 20)",5976.816667640532,5989.832449875141
52,"(1, 1, 0, 1, 0, 0, 20)",6132.073577298915,6145.193536667645
53,"(1, 1, 0, 1, 0, 1, 20)",6134.013292943866,6151.506572102174
54,"(1, 1, 0, 1, 1, 0, 20)",6156.602961191523,6169.618743426132
55,"(1, 1, 0, 1, 1, 1, 20)",5978.814313307013,5996.168689619826
56,"(1, 1, 1, 0, 0, 0, 20)",6197.654535645486,6210.870221019579
57,"(1, 1, 1, 0, 0, 1, 20)",6003.252173638933,6020.73862102786
58,"(1, 1, 1, 0, 1, 0, 20)",6375.286420765468,6388.401256307164
59,"(1, 1, 1, 0, 1, 1, 20)",5852.967999110866,5870.315302035452
60,"(1, 1, 1, 1, 0, 0, 20)",6013.604132420598,6031.097411578906
61,"(1, 1, 1, 1, 0, 1, 20)",6005.032598886801,6026.89065812296
62,"(1, 1, 1, 1, 1, 0, 20)",6049.352313811963,6066.706690124775
63,"(1, 1, 1, 1, 1, 1, 20)",5854.95141891514,5876.6355475708715
