,sentiment,variable,value,total_count,ratio,brand
0,positive,lipstick,5913.0,6884,0.8589482858803021,sephora
1,negative,lipstick,767.0,6884,0.11141778036025567,sephora
2,neutral,lipstick,204.0,6884,0.029633933759442184,sephora
3,positive,eyeshadow,7701.0,8843,0.8708583060047496,sephora
4,negative,eyeshadow,865.0,8843,0.09781748275472125,sephora
5,neutral,eyeshadow,277.0,8843,0.03132421124052923,sephora
6,positive,blush,8532.0,9157,0.931746205089003,sephora
7,negative,blush,472.0,9157,0.051545265916784974,sephora
8,neutral,blush,153.0,9157,0.016708528994212078,sephora
9,positive,bronzer,3239.0,3597,0.9004726160689464,sephora
10,negative,bronzer,269.0,3597,0.07478454267445094,sephora
11,neutral,bronzer,89.0,3597,0.024742841256602723,sephora
12,positive,mascara,7945.0,9260,0.8579913606911447,sephora
13,negative,mascara,988.0,9260,0.10669546436285098,sephora
14,neutral,mascara,327.0,9260,0.03531317494600432,sephora
15,positive,foundation,11919.0,15277,0.7801924461608954,sephora
16,negative,foundation,2611.0,15277,0.1709105190809714,sephora
17,neutral,foundation,747.0,15277,0.04889703475813314,sephora
18,positive,concealer,7542.0,9030,0.8352159468438538,sephora
19,negative,concealer,1139.0,9030,0.12613510520487264,sephora
20,neutral,concealer,349.0,9030,0.038648947951273535,sephora
21,positive,gloss,4139.0,4799,0.8624713481975411,sephora
22,negative,gloss,515.0,4799,0.10731402375494895,sephora
23,neutral,gloss,145.0,4799,0.0302146280475099,sephora
24,positive,eyeliner,6603.0,7584,0.8706487341772152,sephora
25,negative,eyeliner,734.0,7584,0.09678270042194093,sephora
26,neutral,eyeliner,247.0,7584,0.03256856540084388,sephora
27,positive,gel,3513.0,4139,0.8487557381009906,sephora
28,negative,gel,475.0,4139,0.11476201981154868,sephora
29,neutral,gel,151.0,4139,0.03648224208746074,sephora
30,positive,powder,7737.0,9363,0.8263377122717078,sephora
31,negative,powder,1248.0,9363,0.13329061198333866,sephora
32,neutral,powder,378.0,9363,0.04037167574495354,sephora
33,positive,moisturizer,3533.0,4489,0.7870349743818222,sephora
34,negative,moisturizer,743.0,4489,0.16551570505680552,sephora
35,neutral,moisturizer,213.0,4489,0.047449320561372244,sephora
36,positive,sunscreen,1688.0,2237,0.7545820295037997,sephora
37,negative,sunscreen,438.0,2237,0.19579794367456416,sephora
38,neutral,sunscreen,111.0,2237,0.04962002682163612,sephora
39,positive,shampoo,1102.0,1402,0.7860199714693296,sephora
