,dt,activity_count,daily_new_cases,cumulative_cases,daily_new_deaths,cumulative_deaths
0,2021-01-01,179,1797638,83677827,26840,1936946
1,2021-01-02,204,412196,84090023,8543,1945489
2,2021-01-03,187,328962,84418985,7884,1953373
3,2021-01-04,267,352863,84771848,7819,1961192
4,2021-01-05,301,384608,85156456,8838,1970030
5,2021-01-06,252,489253,85645709,11052,1981082
6,2021-01-07,177,555086,86200795,10729,1991811
7,2021-01-08,221,2117364,88318159,29701,2021512
8,2021-01-09,213,532748,88850907,11484,2032996
9,2021-01-10,217,489057,89339964,9465,2042461
10,2021-01-11,248,423698,89763662,9144,2051605
11,2021-01-12,224,383781,90147443,9761,2061366
12,2021-01-13,306,460279,90607722,11773,2073139
13,2021-01-14,224,520125,91127847,11713,2084852
14,2021-01-15,249,2201122,93328969,34951,2119803
15,2021-01-16,208,481153,93810122,11734,2131537
16,2021-01-17,191,482966,94293088,10216,2141753
17,2021-01-18,199,394486,94687574,9592,2151345
18,2021-01-19,212,352913,95040487,10455,2161800
19,2021-01-20,270,418027,95458514,11942,2173742
20,2021-01-21,217,482265,95940779,12353,2186095
21,2021-01-22,167,1840173,97780952,33964,2220059
22,2021-01-23,124,427593,98208545,12041,2232100
23,2021-01-24,161,427367,98635912,10708,2242808
24,2021-01-25,138,359070,98994982,9817,2252625
25,2021-01-26,155,303162,99298144,10492,2263117
26,2021-01-27,127,381142,99679286,11746,2274863
27,2021-01-28,189,438598,100117884,12172,2287035
28,2021-01-29,154,1561332,101679216,34004,2321039
29,2021-01-30,103,393467,102072683,11670,2332709
30,2021-01-31,128,384467,102457150,10208,2342917
31,2021-02-01,194,322038,102779188,9369,2352286
32,2021-02-02,106,275303,103054491,9387,2361673
33,2021-02-03,147,319679,103374170,10598,2372271
34,2021-02-04,131,377277,103751447,10645,2382916
35,2021-02-05,89,1317377,105068824,31414,2414330
36,2021-02-06,138,342535,105411359,9769,2424099
37,2021-02-07,96,325977,105737336,8680,2432779
38,2021-02-08,133,275658,106012994,7958,2440737
39,2021-02-09,126,243141,106256135,8194,2448931
40,2021-02-10,136,283539,106539674,9602,2458533
41,2021-02-11,184,325853,106865527,9462,2467995
42,2021-02-12,142,1053138,107918665,28360,2496355
43,2021-02-13,85,308609,108227274,9231,2505586
44,2021-02-14,100,293318,108520592,7588,2513174
45,2021-02-15,157,244164,108764756,6896,2520070
46,2021-02-16,121,231660,108996416,7319,2527389
47,2021-02-17,131,284456,109280872,7850,2535239
48,2021-02-18,105,321744,109602616,8016,2543255
49,2021-02-19,122,856680,110459296,22357,2565612
50,2021-02-20,91,302857,110762153,8280,2573892
51,2021-02-21,80,301068,111063221,7125,2581017
52,2021-02-22,161,277730,111340951,6467,2587484
53,2021-02-23,157,254988,111595939,6666,2594150
54,2021-02-24,93,297666,111893605,7296,2601446
55,2021-02-25,127,354734,112248339,7571,2609017
56,2021-02-26,112,823452,113071791,21504,2630521
57,2021-02-27,72,335809,113407600,7777,2638298
58,2021-02-28,57,323678,113731278,6666,2644964
59,2021-03-01,96,286509,114017787,6385,2651349
60,2021-03-02,117,263436,114281223,6580,2657929
61,2021-03-03,111,318954,114600177,6981,2664910
62,2021-03-04,325,367803,114967980,7639,2672549
63,2021-03-05,204,807511,115775491,21396,2693945
64,2021-03-06,134,353721,116129212,7406,2701351
65,2021-03-07,150,359909,116489121,6772,2708123
66,2021-03-08,152,307156,116796277,6331,2714454
67,2021-03-09,198,327967,117124244,6693,2721147
68,2021-03-10,189,334935,117459179,7155,2728302
69,2021-03-11,127,401776,117860955,7942,2736244
