Date,Sephora,Ulta,Fenty,Glossier
2021-01-01,88,100,70,35
2021-01-02,97,96,100,41
2021-01-03,100,96,84,44
2021-01-04,85,74,72,32
2021-01-05,84,70,58,35
2021-01-06,77,64,57,38
2021-01-07,80,63,51,29
2021-01-08,84,67,54,34
2021-01-09,87,80,57,34
2021-01-10,81,81,52,36
2021-01-11,76,58,47,33
2021-01-12,78,56,51,29
2021-01-13,75,56,71,32
2021-01-14,77,56,92,28
2021-01-15,72,68,76,40
2021-01-16,81,81,72,36
2021-01-17,87,78,70,34
2021-01-18,76,64,59,30
2021-01-19,77,58,45,35
2021-01-20,84,52,53,31
2021-01-21,83,54,65,30
2021-01-22,77,60,56,31
2021-01-23,92,75,71,32
2021-01-24,89,73,76,33
2021-01-25,77,53,75,35
2021-01-26,76,54,64,30
2021-01-27,78,53,57,30
2021-01-28,76,58,51,28
2021-01-29,82,64,50,30
2021-01-30,94,76,56,35
2021-01-31,86,72,64,34
2021-02-01,80,51,95,29
2021-02-02,78,53,84,27
2021-02-03,79,54,77,26
2021-02-04,77,59,71,34
2021-02-05,79,60,63,30
2021-02-06,83,73,59,31
2021-02-07,80,64,63,32
2021-02-08,79,52,53,28
2021-02-09,69,56,52,30
2021-02-10,83,61,60,29
2021-02-11,81,56,62,26
2021-02-12,82,64,50,28
2021-02-13,87,75,53,28
2021-02-14,72,75,57,28
2021-02-15,68,53,54,29
2021-02-16,71,47,45,29
2021-02-17,67,46,60,27
2021-02-18,68,52,59,30
2021-02-19,74,63,43,32
2021-02-20,78,75,44,27
2021-02-21,78,76,45,33
2021-02-22,66,50,38,31
2021-02-23,65,52,36,23
2021-02-24,67,56,41,33
2021-02-25,68,62,38,28
2021-02-26,75,66,37,30
2021-02-27,80,74,39,29
2021-02-28,79,73,37,34
2021-03-01,70,56,68,27
2021-03-02,69,53,60,29
2021-03-03,74,56,53,24
2021-03-04,79,58,52,28
2021-03-05,78,62,41,100
2021-03-06,82,73,42,55
2021-03-07,81,76,41,42
2021-03-08,69,54,34,39
2021-03-09,68,53,36,31
2021-03-10,66,57,37,31
2021-03-11,69,60,42,31
2021-03-12,70,67,34,32
2021-03-13,78,84,41,36
2021-03-14,76,89,48,36
2021-03-15,64,61,37,32
2021-03-16,65,59,39,30
2021-03-17,75,67,43,36
2021-03-18,72,69,42,28
2021-03-19,76,81,40,27
2021-03-20,83,100,44,35
2021-03-21,80,99,42,40
2021-03-22,84,68,35,33
2021-03-23,68,64,36,34
